[2025-04-16 19:05:31] ==================================================
[2025-04-16 19:05:35] GCNN for Shastry-Sutherland lattice
[2025-04-16 19:05:35] ==================================================
[2025-04-16 19:05:35] System parameters:
[2025-04-16 19:05:35]   - System size: L=4, N=64
[2025-04-16 19:05:35]   - System parameters: J1=0.03, J2=0.05, Q=0.95
[2025-04-16 19:05:41] --------------------------------------------------
[2025-04-16 19:05:41] Model parameters:
[2025-04-16 19:05:41]   - Number of layers = 4
[2025-04-16 19:05:41]   - Number of features = 4
[2025-04-16 19:05:41]   - Symmetries used: 128
[2025-04-16 19:05:41]   - Total parameters = 12572
[2025-04-16 19:05:41] --------------------------------------------------
[2025-04-16 19:05:41] Training parameters:
[2025-04-16 19:05:41]   - Learning rate: 0.02
[2025-04-16 19:05:42]   - Total annealing steps: 1000
[2025-04-16 19:05:42]   - Samples: 4096
[2025-04-16 19:05:42]   - Discarded samples: 0
[2025-04-16 19:05:42]   - Chunk size: 1024
[2025-04-16 19:05:42] --------------------------------------------------
[2025-04-16 19:05:42] Device status:
[2025-04-16 19:05:42]   - Number of devices: 4
[2025-04-16 19:05:42]   - Sharding: False
[2025-04-16 19:05:49] --------------------------------------------------
[2025-04-16 19:05:49] Start training...
[2025-04-16 19:15:31] Iteration: 108/1000, Temp: 0.0577, Energy: -49.372654-0.045816j, Rel_err(%): 9.0374
[2025-04-16 19:15:37] Iteration: 109/1000, Temp: 0.0565, Energy: -49.459997-0.046564j, Rel_err(%): 8.8765
[2025-04-16 19:15:42] Iteration: 110/1000, Temp: 0.0554, Energy: -49.655757-0.042456j, Rel_err(%): 8.5158
[2025-04-16 19:15:47] Iteration: 111/1000, Temp: 0.0543, Energy: -49.625443-0.016716j, Rel_err(%): 8.5713
[2025-04-16 19:15:52] Iteration: 112/1000, Temp: 0.0532, Energy: -49.622200-0.017627j, Rel_err(%): 8.5773
[2025-04-16 19:15:57] Iteration: 113/1000, Temp: 0.0522, Energy: -49.755702-0.010892j, Rel_err(%): 8.3313
[2025-04-16 19:16:02] Iteration: 114/1000, Temp: 0.0511, Energy: -49.737596+0.013233j, Rel_err(%): 8.3647
[2025-04-16 19:16:08] Iteration: 115/1000, Temp: 0.0501, Energy: -49.853984+0.016333j, Rel_err(%): 8.1503
[2025-04-16 19:16:13] Iteration: 116/1000, Temp: 0.0491, Energy: -49.966121+0.021736j, Rel_err(%): 7.9437
[2025-04-16 19:16:18] Iteration: 117/1000, Temp: 0.0482, Energy: -49.941327-0.009671j, Rel_err(%): 7.9893
[2025-04-16 19:16:23] Iteration: 118/1000, Temp: 0.0472, Energy: -50.081669-0.023359j, Rel_err(%): 7.7309
[2025-04-16 19:16:28] Iteration: 119/1000, Temp: 0.0463, Energy: -50.120782-0.017826j, Rel_err(%): 7.6588
[2025-04-16 19:16:34] Iteration: 120/1000, Temp: 0.0454, Energy: -49.980704+0.006819j, Rel_err(%): 7.9168
[2025-04-16 19:16:39] Iteration: 121/1000, Temp: 0.0445, Energy: -50.325110-0.048057j, Rel_err(%): 7.2828
[2025-04-16 19:16:44] Iteration: 122/1000, Temp: 0.0436, Energy: -50.215499-0.039206j, Rel_err(%): 7.4845
[2025-04-16 19:16:49] Iteration: 123/1000, Temp: 0.0427, Energy: -50.229674-0.022798j, Rel_err(%): 7.4582
[2025-04-16 19:16:54] Iteration: 124/1000, Temp: 0.0419, Energy: -50.354211-0.034426j, Rel_err(%): 7.2289
[2025-04-16 19:17:00] Iteration: 125/1000, Temp: 0.0410, Energy: -50.306739-0.008081j, Rel_err(%): 7.3161
[2025-04-16 19:17:05] Iteration: 126/1000, Temp: 0.0402, Energy: -50.283278-0.032026j, Rel_err(%): 7.3595
[2025-04-16 19:17:10] Iteration: 127/1000, Temp: 0.0394, Energy: -50.325649-0.031273j, Rel_err(%): 7.2815
